,generator,region
1,101_CT_1,region 1
2,101_CT_2,region 1
3,101_STEAM_3,region 1
4,101_STEAM_4,region 1
5,102_CT_1,region 1
6,102_CT_2,region 1
7,102_STEAM_3,region 1
8,102_STEAM_4,region 1
9,107_CC_1,region 1
10,113_CT_1,region 1
11,113_CT_2,region 1
12,113_CT_3,region 1
13,113_CT_4,region 1
14,115_STEAM_1,region 1
15,115_STEAM_2,region 1
16,115_STEAM_3,region 1
17,116_STEAM_1,region 1
18,118_CC_1,region 1
19,123_STEAM_2,region 1
20,123_STEAM_3,region 1
21,123_CT_1,region 1
22,123_CT_4,region 1
23,123_CT_5,region 1
24,121_NUCLEAR_1,region 1
25,201_CT_1,region 2
26,201_CT_2,region 2
27,201_STEAM_3,region 2
28,202_CT_1,region 2
29,202_CT_2,region 2
30,202_STEAM_3,region 2
31,202_STEAM_4,region 2
32,207_CT_1,region 2
33,207_CT_2,region 2
34,213_CC_3,region 2
35,213_CT_1,region 2
36,213_CT_2,region 2
37,215_CT_4,region 2
38,215_CT_5,region 2
39,216_STEAM_1,region 2
40,218_CC_1,region 2
41,221_CC_1,region 2
42,223_STEAM_1,region 2
43,223_STEAM_2,region 2
44,223_STEAM_3,region 2
45,223_CT_4,region 2
46,223_CT_5,region 2
47,223_CT_6,region 2
48,301_CT_1,region 3
49,301_CT_2,region 3
50,301_CT_3,region 3
51,301_CT_4,region 3
52,302_CT_1,region 3
53,302_CT_2,region 3
54,302_CT_3,region 3
55,302_CT_4,region 3
56,307_CT_1,region 3
57,307_CT_2,region 3
58,313_CC_1,region 3
59,315_STEAM_1,region 3
60,315_STEAM_2,region 3
61,315_STEAM_3,region 3
62,315_STEAM_4,region 3
63,315_STEAM_5,region 3
64,315_CT_6,region 3
65,315_CT_7,region 3
66,315_CT_8,region 3
67,316_STEAM_1,region 3
68,318_CC_1,region 3
69,321_CC_1,region 3
70,322_CT_5,region 3
71,322_CT_6,region 3
72,323_CC_1,region 3
73,323_CC_2,region 3
